City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Vardo,NO,2021-06-04 21:01:17,70.3705,31.1107,46.6,93,0,4.61
220,Saint-Augustin,CA,2021-06-04 21:01:17,51.226,-58.6502,55.31,86,75,11.56
221,Bethel,US,2021-06-04 21:01:17,41.3712,-73.414,76.41,80,72,5.79
222,Pyu,MM,2021-06-04 21:01:17,18.4833,96.4333,78.85,86,100,4.72
223,Pisco,PE,2021-06-04 21:01:18,-13.7,-76.2167,64.02,84,6,8.63
224,Sale,MA,2021-06-04 21:01:18,34.0389,-6.8166,66.88,72,40,4.61
225,Tateyama,JP,2021-06-04 21:01:18,34.9833,139.8667,71.02,89,100,7.23
226,Antalaha,MG,2021-06-04 21:01:19,-14.9003,50.2788,71.46,91,75,5.19
227,Coxim,BR,2021-06-04 21:01:19,-18.5067,-54.76,84.27,28,12,4.74
228,Broken Hill,AU,2021-06-04 21:01:19,-31.95,141.4333,43.23,76,0,1.63
229,Guerrero Negro,MX,2021-06-04 21:01:19,27.9769,-114.0611,77.38,42,0,14.56
230,Torbay,CA,2021-06-04 21:01:20,47.6666,-52.7314,56.88,97,90,20.71
231,Houma,US,2021-06-04 20:57:08,29.5958,-90.7195,84.0,74,82,7.0
232,Isangel,VU,2021-06-04 21:01:20,-19.55,169.2667,75.67,66,84,11.14
233,Lilongwe,MW,2021-06-04 21:01:03,-13.9669,33.7873,58.03,86,46,5.66
234,Korla,CN,2021-06-04 21:01:20,41.7597,86.1469,76.42,28,87,7.92
235,Sangerhausen,DE,2021-06-04 21:01:21,51.4667,11.3,67.32,80,100,0.87
236,Nanortalik,GL,2021-06-04 21:01:21,60.1432,-45.2371,39.43,77,100,13.51
237,Ancud,CL,2021-06-04 21:01:21,-41.8697,-73.8203,48.42,82,58,9.22
238,Ahipara,NZ,2021-06-04 21:01:22,-35.1667,173.1667,59.49,76,100,11.41
239,Lebu,CL,2021-06-04 21:01:22,-37.6167,-73.65,53.17,79,100,7.11
240,Waunakee,US,2021-06-04 21:01:22,43.1919,-89.4557,91.42,19,1,16.22
241,Sept-Iles,CA,2021-06-04 21:01:23,50.2001,-66.3821,66.25,76,75,5.01
242,Goderich,CA,2021-06-04 21:01:23,43.7501,-81.7165,80.2,82,21,9.8
243,Saskylakh,RU,2021-06-04 21:01:23,71.9167,114.0833,33.98,86,100,8.57
244,Phuket,TH,2021-06-04 21:01:24,8.0,98.25,87.1,84,40,12.93
245,Lagoa,PT,2021-06-04 21:01:24,39.05,-27.9833,62.26,88,100,12.5
246,Faanui,PF,2021-06-04 21:01:24,-16.4833,-151.75,80.15,77,46,11.41
247,Yebaishou,CN,2021-06-04 21:01:24,41.3975,119.6408,56.62,49,2,6.04
248,Alice Springs,AU,2021-06-04 20:58:26,-23.7,133.8833,40.55,87,80,5.93
249,Pangai,TO,2021-06-04 21:01:25,-19.8,-174.35,75.34,73,6,15.3
250,Nova Era,BR,2021-06-04 21:01:25,-19.75,-43.0375,64.83,71,4,2.26
251,Nome,US,2021-06-04 21:01:25,64.5011,-165.4064,33.87,86,90,10.36
252,Chunskiy,RU,2021-06-04 21:01:26,56.0815,99.6342,56.48,94,100,5.91
253,Oktyabrskoye,RU,2021-06-04 21:01:26,43.0645,44.7417,55.54,93,99,2.86
254,Lompoc,US,2021-06-04 21:01:26,34.6391,-120.4579,84.34,66,11,1.99
255,Oyama,JP,2021-06-04 21:01:26,36.3,139.8,71.58,88,100,3.29
256,Bras-Panon,RE,2021-06-04 21:01:27,-20.9967,55.6782,73.02,82,32,7.74
257,Fairbanks,US,2021-06-04 21:00:05,64.8378,-147.7164,68.59,50,90,16.11
258,Mihijam,IN,2021-06-04 21:01:27,23.8526,86.8788,88.2,54,9,5.1
259,Fairview,US,2021-06-04 20:58:37,40.8126,-73.999,76.21,86,90,4.61
260,Yerbogachen,RU,2021-06-04 21:01:27,61.2767,108.0108,45.28,91,100,5.14
261,Oum Hadjer,TD,2021-06-04 21:01:27,13.2954,19.6966,93.9,26,47,5.23
262,Mindelo,CV,2021-06-04 21:01:28,16.8901,-24.9804,71.37,81,11,23.94
263,Kavieng,PG,2021-06-04 21:01:28,-2.5744,150.7967,82.62,77,26,10.8
264,Zabol,AF,2021-06-04 21:01:28,32.25,67.25,72.18,30,0,7.16
265,Alexandria,EG,2021-06-04 20:57:31,31.2156,29.9553,71.56,68,20,10.36
266,Cherskiy,RU,2021-06-04 21:01:29,68.75,161.3,65.14,38,100,13.2
267,Kosovska Mitrovica,XK,2021-06-04 21:01:29,42.8833,20.8667,55.74,85,9,3.09
268,Tromso,NO,2021-06-04 21:01:29,69.6496,18.957,57.85,81,20,3.0
269,Lavrentiya,RU,2021-06-04 21:01:30,65.5833,-171.0,32.54,89,99,4.5
270,Bereda,ES,2021-06-04 21:01:30,43.2686,-7.5406,54.91,92,0,3.69
271,Bay Roberts,CA,2021-06-04 21:01:30,47.5999,-53.2648,57.65,93,100,5.99
272,Norman Wells,CA,2021-06-04 21:01:31,65.282,-126.8329,51.58,72,99,11.23
273,Baruun-Urt,MN,2021-06-04 21:01:09,46.6806,113.2792,54.28,64,28,8.32
274,Salalah,OM,2021-06-04 21:01:31,17.0151,54.0924,79.84,80,100,2.06
275,Rio Gallegos,AR,2021-06-04 21:01:31,-51.6226,-69.2181,35.01,94,100,7.34
276,Pozo Colorado,PY,2021-06-04 21:01:32,-23.4923,-58.7972,91.89,25,0,11.81
277,Saint-Francois,FR,2021-06-04 21:01:32,46.4154,3.9054,63.18,96,75,3.44
278,Pangani,TZ,2021-06-04 21:01:32,-5.4333,38.9667,74.5,88,91,6.64
279,Jamestown,US,2021-06-04 21:01:32,42.097,-79.2353,77.09,53,11,13.0
280,Bubaque,GW,2021-06-04 21:01:33,11.2833,-15.8333,79.38,80,15,19.77
281,Daru,PG,2021-06-04 21:01:33,-9.0763,143.2092,77.76,78,97,11.45
282,West Wendover,US,2021-06-04 21:01:33,40.7391,-114.0733,94.41,14,23,3.02
283,La Rioja,ES,2021-06-04 21:01:34,42.25,-2.5,52.48,92,99,3.24
284,Wuwei,CN,2021-06-04 21:01:34,37.9281,102.6414,63.18,17,0,7.67
285,General Roca,AR,2021-06-04 21:01:34,-39.0333,-67.5833,58.39,44,100,13.6
286,Rundu,NA,2021-06-04 21:01:35,-17.9333,19.7667,50.63,40,0,7.07
287,Medford,US,2021-06-04 21:01:35,42.3265,-122.8756,88.61,32,24,7.0
288,Ati,TD,2021-06-04 21:01:35,13.2154,18.3353,92.79,25,90,4.43
289,Gondanglegi,ID,2021-06-04 21:01:36,-7.7479,112.0132,74.43,91,7,3.31
290,Calabozo,VE,2021-06-04 21:01:36,8.9242,-67.4293,87.93,54,99,3.09
291,Caravelas,BR,2021-06-04 21:01:36,-17.7125,-39.2481,72.84,90,98,7.23
292,Kiunga,PG,2021-06-04 21:01:37,-6.1219,141.2906,72.99,100,100,2.71
293,Faya,SA,2021-06-04 21:01:37,18.3851,42.4509,70.45,24,59,5.12
294,Kirovskiy,RU,2021-06-04 21:01:37,45.0917,133.5136,52.81,93,100,4.99
295,Abu Zabad,SD,2021-06-04 21:01:38,12.35,29.25,81.25,58,84,8.46
