City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
365,Jumla,NP,70.09,broken clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
366,Ankang,CN,70.61,broken clouds,32.68,109.0172,安琪酒店
367,Sorong,ID,82.9,broken clouds,-0.8833,131.25,waigo splash hotel
370,Bonthe,SL,79.11,broken clouds,7.5264,-12.505,Bonthe Holiday Village
371,Port Moresby,PG,80.96,broken clouds,-9.4431,147.1797,Lamana Hotel
376,Benguela,AO,74.55,broken clouds,-12.5763,13.4055,Hotel Praia Morena
377,Olinda,BR,71.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
378,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
380,Huilong,CN,81.03,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
381,Saint Anthony,US,87.73,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
382,Mitchell,US,80.11,broken clouds,43.7094,-98.0298,Kelly Inn & Suites
383,Ceres,US,71.51,broken clouds,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
386,Escanaba,US,72.03,broken clouds,45.7453,-87.0646,Sunset Lodge
387,Banamba,ML,85.39,broken clouds,13.55,-7.45,Kassela de Banamba
388,Merrill,US,72.32,broken clouds,45.1805,-89.6835,Prairie Motel
390,Pundaguitan,PH,82.02,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
392,Komsomolskiy,UZ,75.92,broken clouds,40.4272,71.7189,Ikathouse
396,Mitsamiouli,KM,77.27,broken clouds,-11.3847,43.2844,Foyer ADM
398,Chunskiy,RU,73.87,broken clouds,56.0815,99.6342,Odisseya
400,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
401,Floriano,BR,81.9,broken clouds,-6.7669,-43.0225,Hotel Maktub
403,Vero Beach,US,80.08,broken clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
406,Markapur,IN,87.67,broken clouds,15.7333,79.2833,VIHARI GRAND INN
407,Bay City,US,75.76,broken clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
408,Bull Savanna,JM,75.18,broken clouds,17.8868,-77.5902,Big Red's
410,Erzin,TR,70.0,broken clouds,36.9559,36.2,Artemis Otel
411,Escarcega,MX,83.97,broken clouds,18.6089,-90.7454,Hotel Maria Isabel
415,Ibra,OM,82.15,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
416,Champerico,GT,83.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
418,Seminole,US,81.36,broken clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
422,Akyab,MM,85.08,broken clouds,20.15,92.9,Hotel Memory
423,Hamilton,US,73.38,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
425,Russell,US,76.6,broken clouds,32.3502,-85.1999,Macs
429,Alta Floresta,BR,71.73,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
431,Fresnillo,MX,75.7,broken clouds,23.1667,-102.8833,HOTEL DEL FRESNO
434,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
435,Tabou,CI,78.31,broken clouds,4.423,-7.3528,hotêl doufoulougou
437,Kieta,PG,84.38,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
438,Vanimo,PG,86.61,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
440,Broome,US,72.46,broken clouds,42.2506,-75.833,Chenango Valley State Park
446,Savelugu,GH,78.35,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
447,Tual,ID,80.96,broken clouds,-5.6667,132.75,Grand Vilia Hotel
450,Noumea,NC,78.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
455,Eyl,SO,80.58,broken clouds,7.9803,49.8164,Amiin Hotel
456,Conde,BR,72.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
457,Jalu,LY,73.65,broken clouds,29.0331,21.5482,صاحبة الفخامة
459,Lorengau,PG,84.25,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
461,Hasaki,JP,87.19,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
462,Pennagaram,IN,79.99,broken clouds,12.1333,77.9,Ranga Lodge
463,Corrales,US,87.24,broken clouds,35.2378,-106.6067,Quality Inn
465,Sabang,ID,82.98,broken clouds,5.8933,95.3214,Hotel Citra
469,Shenjiamen,CN,72.73,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
471,Santa Ana,US,73.15,broken clouds,33.7456,-117.8678,Santa Ana Travel Inn
475,Khor,RU,81.59,broken clouds,47.8861,134.9464,Gostinitsa Deksi
477,Zeya,RU,78.37,broken clouds,53.75,127.2667,Kapital Inn
479,Abu Kamal,SY,76.91,broken clouds,34.4506,40.9171,محطة التلفاز
480,Virginia Beach,US,82.45,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
481,Shelburne,CA,70.75,broken clouds,44.0787,-80.2041,The Retreat at the Farm
483,Vettavalam,IN,87.44,broken clouds,12.1,79.25,"ADW Boys Hostel, Vettavalam"
