City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Svetlyy,RU,54.675,20.1347,53.65,87,14,6.49,broken clouds
117,Fez,MA,34.0372,-4.9998,68.25,63,0,1.86,broken clouds
118,Mnogovershinnyy,RU,53.9353,139.9242,78.89,43,9,3.44,broken clouds
119,Coahuayana,MX,18.7333,-103.6833,80.6,75,50,0.65,broken clouds
120,Talnakh,RU,69.4865,88.3972,34.29,79,21,2.73,broken clouds
121,Atuona,PF,-9.8,-139.0333,80.11,76,12,15.5,broken clouds
122,Kiunga,PG,-6.1219,141.2906,74.03,95,100,0.85,broken clouds
123,Lebu,CL,-37.6167,-73.65,54.01,95,100,4.72,broken clouds
124,Abu Samrah,SY,35.3029,37.1841,66.36,56,0,9.04,broken clouds
125,Sicamous,CA,50.8331,-118.9856,68.97,50,43,2.64,broken clouds
126,Lufilufi,WS,-13.8745,-171.5986,87.58,72,73,4.68,broken clouds
127,Bengkulu,ID,-3.8004,102.2655,81.95,73,95,0.76,broken clouds
128,Marawi,PH,7.9986,124.2928,82.35,59,100,1.99,broken clouds
129,Nzerekore,GN,7.7562,-8.8179,68.86,99,92,1.99,broken clouds
130,Coihaique,CL,-45.5752,-72.0662,44.55,70,90,5.75,broken clouds
131,Tuatapere,NZ,-46.1333,167.6833,49.82,78,100,2.26,broken clouds
132,Baracoa,CU,20.3467,-74.4958,77.2,89,53,10.47,broken clouds
133,Port Alfred,ZA,-33.5906,26.891,64.44,50,21,7.87,broken clouds
134,Eyrarbakki,IS,63.863,-21.1481,48.25,83,100,11.07,broken clouds
135,Noshiro,JP,40.2039,140.0242,70.74,72,26,8.55,broken clouds
136,Saint George,US,37.1041,-113.5841,88.27,15,0,8.28,broken clouds
137,Saquarema,BR,-22.92,-42.5103,73.42,92,100,5.06,broken clouds
138,Tiksi,RU,71.6872,128.8694,35.38,77,83,6.71,broken clouds
139,Porto Novo,BJ,6.4965,2.6036,78.31,81,100,3.51,broken clouds
140,Mugur-Aksy,RU,50.35,90.5,53.69,52,100,4.14,broken clouds
141,La Paz,BO,-16.5,-68.15,44.58,75,40,5.75,broken clouds
142,Micheweni,TZ,-4.9667,39.8333,75.58,84,40,13.11,broken clouds
143,Corinto,GR,37.9407,22.9573,72.68,76,15,2.82,broken clouds
144,Altamira,BR,-3.2033,-52.2064,72.36,97,90,3.24,broken clouds
145,Beckley,US,37.7782,-81.1882,67.89,98,90,5.75,broken clouds
146,Pemangkat,ID,1.1667,108.9667,83.5,70,96,2.08,broken clouds
147,Chuy,UY,-33.6971,-53.4616,58.66,90,80,10.0,broken clouds
148,Kavieng,PG,-2.5744,150.7967,83.41,76,96,11.9,broken clouds
149,San Patricio,US,28.017,-97.5169,82.89,93,1,10.6,broken clouds
150,Bethel,US,41.3712,-73.414,73.08,93,100,1.79,broken clouds
151,San Miguelito,PA,9.0333,-79.5,79.56,84,90,4.0,broken clouds
152,Kimberley,ZA,-28.7323,24.7623,47.89,87,100,6.91,broken clouds
153,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,41,1,9.22,broken clouds
154,Moree,AU,-29.4667,149.85,51.82,62,90,20.71,broken clouds
155,Kavaratti,IN,10.5669,72.642,83.55,73,97,16.75,broken clouds
156,Katiola,CI,8.1333,-5.1,71.91,96,93,2.44,broken clouds
157,Sept-Iles,CA,50.2001,-66.3821,61.32,41,20,5.75,broken clouds
158,Ancud,CL,-41.8697,-73.8203,50.43,84,100,14.9,broken clouds
159,Funadhoo,MV,6.15,73.2667,82.94,73,99,17.18,broken clouds
160,Puerto Ayora,EC,-0.7393,-90.3518,73.54,87,80,3.0,broken clouds
161,Najran,SA,17.4924,44.1277,81.25,16,2,2.46,broken clouds
162,Chiang Khong,TH,20.2613,100.4046,77.32,92,100,1.03,broken clouds
163,Kargasok,RU,59.0556,80.8572,49.26,43,0,10.74,broken clouds
164,Coracora,PE,-15.0333,-73.7833,44.44,50,75,1.48,broken clouds
165,Zhigansk,RU,66.7697,123.3711,51.91,33,13,23.22,broken clouds
166,Chokwe,MZ,-24.5333,32.9833,60.49,87,26,3.27,broken clouds
167,Aklavik,CA,68.2191,-135.0107,63.43,30,89,16.84,broken clouds
168,Porto Walter,BR,-8.2686,-72.7439,71.65,96,64,2.13,broken clouds
169,Wellington,NZ,-41.2866,174.7756,63.77,82,1,6.91,broken clouds
170,San Quintin,MX,30.4833,-115.95,63.45,83,100,15.46,broken clouds
171,Arlit,NE,18.7369,7.3853,86.52,13,16,5.79,broken clouds
172,Karatuzskoye,RU,53.6072,92.8667,65.32,72,98,5.99,broken clouds
173,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,63,66,8.1,broken clouds
174,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.08,86,66,6.51,broken clouds
175,Kashi,CN,39.4547,75.9797,76.21,27,0,8.86,broken clouds
176,Mirzapur,IN,25.15,82.5833,85.96,33,9,15.1,broken clouds
177,Biloela,AU,-24.4167,150.5,67.48,22,23,16.89,broken clouds
178,Alekseyevsk,RU,57.8406,108.3492,68.85,23,42,5.28,broken clouds
179,Mar Del Plata,AR,-38.0023,-57.5575,56.88,63,75,7.0,broken clouds
180,Lubango,AO,-14.9172,13.4925,55.15,36,62,3.06,broken clouds
181,Chokurdakh,RU,70.6333,147.9167,52.61,41,26,10.69,broken clouds
182,Jinji,CN,23.2281,110.8261,87.6,69,78,2.37,broken clouds
183,Constitucion,CL,-35.3333,-72.4167,55.44,90,100,8.19,broken clouds
184,Show Low,US,34.2542,-110.0298,72.28,8,1,9.22,broken clouds
185,Kamaishi,JP,39.2667,141.8833,72.55,86,53,5.35,broken clouds
186,Celestun,MX,20.8667,-90.4,84.45,67,58,10.18,broken clouds
